,年齢,結婚
0,37,0.0
1,33,1.0
2,32,1.0
3,58,1.0
4,48,1.0
5,33,1.0
6,36,1.0
7,44,1.0
8,43,0.0
9,11,1.0
10,24,0.0
11,12,0.0
12,48,0.0
13,11,1.0
14,55,1.0
15,36,0.0
16,52,1.0
17,22,0.0
18,58,1.0
19,31,1.0
20,39,1.0
21,33,0.0
22,30,1.0
23,23,0.0
24,36,1.0
25,20,1.0
26,15,1.0
27,58,0.0
28,35,0.0
29,34,0.0
30,47,1.0
31,26,0.0
32,55,1.0
33,23,0.0
34,43,0.0
35,46,0.0
36,12,0.0
37,41,0.0
38,39,1.0
39,12,1.0
40,45,1.0
41,12,0.0
42,41,1.0
43,52,1.0
44,53,0.0
45,52,1.0
46,17,1.0
47,21,1.0
48,56,1.0
49,46,1.0
50,15,1.0
51,32,1.0
52,31,1.0
53,52,1.0
54,47,1.0
55,45,1.0
56,29,1.0
57,43,1.0
58,13,1.0
59,29,0.0
60,56,0.0
61,40,0.0
62,29,0.0
63,41,0.0
64,10,0.0
65,30,0.0
66,42,0.0
67,12,0.0
68,39,0.0
69,24,0.0
70,58,0.0
71,29,0.0
72,51,0.0
73,55,0.0
74,34,0.0
75,42,0.0
76,29,0.0
77,32,0.0
78,22,0.0
79,33,0.0
80,32,1.0
81,46,1.0
82,20,1.0
83,40,1.0
84,12,1.0
85,12,1.0
86,19,1.0
87,55,1.0
88,13,1.0
90,41,1.0
91,24,1.0
92,19,1.0
93,26,1.0
94,25,1.0
95,30,1.0
96,42,1.0
97,50,1.0
98,21,1.0
99,58,1.0
100,53,1.0
101,24,1.0
102,32,1.0
103,54,1.0
104,46,1.0
105,28,1.0
106,12,1.0
107,11,1.0
108,33,1.0
109,47,1.0
110,45,1.0
111,41,1.0
112,39,1.0
113,48,0.0
114,22,0.0
115,55,0.0
116,43,0.0
117,11,0.0
118,48,0.0
119,48,0.0
120,14,0.0
121,22,0.0
122,16,0.0
123,38,0.0
124,29,0.0
125,30,0.0
126,12,0.0
127,31,0.0
128,22,0.0
129,30,0.0
130,24,0.0
131,26,0.0
132,55,0.0
133,34,0.0
134,15,0.0
135,55,0.0
136,19,0.0
137,24,0.0
138,50,0.0
139,18,0.0
141,11,0.0
142,32,0.0
143,41,0.0
144,43,0.0
145,28,0.0
146,32,0.0
147,10,0.0
148,53,0.0
149,43,0.0
151,25,0.0
152,53,0.0
154,51,1.0
155,19,1.0
156,10,1.0
157,22,1.0
158,52,1.0
159,40,1.0
160,53,1.0
161,12,1.0
162,29,1.0
163,57,1.0
164,12,1.0
165,40,1.0
166,56,1.0
168,37,1.0
169,57,1.0
171,35,1.0
172,15,1.0
173,12,1.0
174,11,1.0
176,14,1.0
177,13,1.0
178,32,1.0
179,13,1.0
180,30,1.0
182,42,1.0
184,20,1.0
185,23,1.0
186,39,1.0
187,31,1.0
188,40,1.0
190,35,1.0
191,12,1.0
192,11,1.0
193,59,1.0
195,20,1.0
196,32,1.0
197,22,1.0
198,48,1.0
199,22,1.0
200,25,1.0
203,33,0.0
204,19,0.0
205,30,0.0
206,38,0.0
207,16,0.0
208,19,0.0
209,38,0.0
211,21,0.0
212,44,0.0
213,57,0.0
214,22,0.0
215,18,0.0
216,46,0.0
218,16,0.0
220,22,0.0
221,23,0.0
222,27,0.0
