,年齢,年収,結婚
0,37,2000,0.0
1,33,19000,1.0
2,32,20000,1.0
3,58,43000,1.0
4,48,57000,1.0
5,33,76000,1.0
6,36,58000,1.0
7,44,84000,1.0
8,43,150000,0.0
9,11,33000,1.0
10,24,65000,0.0
11,12,80000,0.0
12,48,52000,0.0
13,11,86000,1.0
14,55,18000,1.0
15,36,82000,0.0
16,52,80000,1.0
17,22,25000,0.0
18,58,26000,1.0
19,31,28000,1.0
20,39,29000,1.0
21,33,22000,0.0
22,30,49000,1.0
23,23,41000,0.0
24,36,22000,1.0
25,20,23000,1.0
26,15,20000,1.0
27,58,28000,0.0
28,35,30000,0.0
29,34,43000,0.0
30,47,18000,1.0
31,26,74000,0.0
32,55,137000,1.0
33,23,16000,0.0
34,43,44000,0.0
35,46,90000,0.0
36,12,27000,0.0
37,41,28000,0.0
38,39,49000,1.0
39,12,72000,1.0
40,45,31000,1.0
41,12,17000,0.0
42,41,51000,1.0
43,52,108000,1.0
44,53,15000,0.0
45,52,84000,1.0
46,17,20000,1.0
47,21,79000,1.0
48,56,54000,1.0
49,46,135000,1.0
50,15,89000,1.0
51,32,32000,1.0
52,31,44000,1.0
53,52,83000,1.0
54,47,23000,1.0
55,45,58000,1.0
56,29,55000,1.0
57,43,48000,1.0
58,13,79000,1.0
59,29,18000,0.0
60,56,117000,0.0
61,40,20000,0.0
62,29,87000,0.0
63,41,66000,0.0
64,10,120000,0.0
65,30,83000,0.0
66,42,58000,0.0
67,12,19000,0.0
68,39,82000,0.0
69,24,63000,0.0
70,58,68000,0.0
71,29,80000,0.0
72,51,27000,0.0
73,55,23000,0.0
74,34,113000,0.0
75,42,18000,0.0
76,29,112000,0.0
77,32,52000,0.0
78,22,27000,0.0
79,33,87000,0.0
80,32,17000,1.0
81,46,80000,1.0
82,20,42000,1.0
83,40,49000,1.0
84,12,88000,1.0
85,12,62000,1.0
86,19,118000,1.0
87,55,55000,1.0
88,13,85000,1.0
90,41,81000,1.0
91,24,50000,1.0
92,19,81000,1.0
93,26,116000,1.0
94,25,15000,1.0
95,30,28000,1.0
96,42,83000,1.0
97,50,44000,1.0
98,21,25000,1.0
99,58,123000,1.0
100,53,73000,1.0
101,24,37000,1.0
102,32,88000,1.0
103,54,59000,1.0
104,46,86000,1.0
105,28,149000,1.0
106,12,21000,1.0
107,11,72000,1.0
108,33,35000,1.0
109,47,89000,1.0
110,45,86000,1.0
111,41,80000,1.0
112,39,71000,1.0
113,48,71000,0.0
114,22,61000,0.0
115,55,55000,0.0
116,43,80000,0.0
117,11,57000,0.0
118,48,75000,0.0
119,48,52000,0.0
120,14,59000,0.0
121,22,59000,0.0
122,16,75000,0.0
123,38,72000,0.0
124,29,75000,0.0
125,30,53000,0.0
126,12,51000,0.0
127,31,61000,0.0
128,22,65000,0.0
129,30,32000,0.0
130,24,17000,0.0
131,26,84000,0.0
132,55,58000,0.0
133,34,31000,0.0
134,15,87000,0.0
135,55,68000,0.0
136,19,55000,0.0
137,24,63000,0.0
138,50,82000,0.0
139,18,107000,0.0
141,11,59000,0.0
142,32,25000,0.0
143,41,85000,0.0
144,43,68000,0.0
145,28,59000,0.0
146,32,89000,0.0
147,10,25000,0.0
148,53,89000,0.0
149,43,96000,0.0
151,25,30000,0.0
152,53,61000,0.0
154,51,74000,1.0
155,19,15000,1.0
156,10,45000,1.0
157,22,76000,1.0
158,52,50000,1.0
159,40,47000,1.0
160,53,15000,1.0
161,12,59000,1.0
162,29,75000,1.0
163,57,30000,1.0
164,12,135000,1.0
165,40,100000,1.0
166,56,90000,1.0
168,37,33000,1.0
169,57,38000,1.0
171,35,69000,1.0
172,15,86000,1.0
173,12,55000,1.0
174,11,71000,1.0
176,14,148000,1.0
177,13,47000,1.0
178,32,88000,1.0
179,13,115000,1.0
180,30,118000,1.0
182,42,43000,1.0
184,20,72000,1.0
185,23,28000,1.0
186,39,47000,1.0
187,31,22000,1.0
188,40,23000,1.0
190,35,34000,1.0
191,12,16000,1.0
192,11,71000,1.0
193,59,117000,1.0
195,20,43000,1.0
196,32,60000,1.0
197,22,66000,1.0
198,48,82000,1.0
199,22,41000,1.0
200,25,72000,1.0
203,33,32000,0.0
204,19,84000,0.0
205,30,26000,0.0
206,38,43000,0.0
207,16,70000,0.0
208,19,89000,0.0
209,38,43000,0.0
211,21,79000,0.0
212,44,36000,0.0
213,57,80000,0.0
214,22,22000,0.0
215,18,39000,0.0
216,46,74000,0.0
218,16,134000,0.0
220,22,71000,0.0
221,23,101000,0.0
222,27,47000,0.0
